"Region","Year","Age Range","Prescription Drug Misuse","Measure Type","Variable","Value"
"Connecticut","2004-2006","12-17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","1.12464285714286"
"Connecticut","2004-2006","12-17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","6.51"
"Connecticut","2004-2006","18-25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","2.03526785714286"
"Connecticut","2004-2006","18-25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","14.77"
"Connecticut","2004-2006","Over 17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.751160714285714"
"Connecticut","2004-2006","Over 17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","4.93"
"Connecticut","2004-2006","Over 25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.76375"
"Connecticut","2004-2006","Over 25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","3.43"
"Connecticut","2006-2008","12-17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.914821428571428"
"Connecticut","2006-2008","12-17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","4.97"
"Connecticut","2006-2008","18-25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","1.69955357142857"
"Connecticut","2006-2008","18-25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","11.34"
"Connecticut","2006-2008","Over 17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.709196428571429"
"Connecticut","2006-2008","Over 17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","3.98"
"Connecticut","2006-2008","Over 25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.679821428571429"
"Connecticut","2006-2008","Over 25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","2.83"
"Connecticut","2008-2010","12-17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.902232142857143"
"Connecticut","2008-2010","12-17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","4.87"
"Connecticut","2008-2010","18-25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","1.63241071428571"
"Connecticut","2008-2010","18-25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","10.36"
"Connecticut","2008-2010","Over 17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.692410714285714"
"Connecticut","2008-2010","Over 17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","3.78"
"Connecticut","2008-2010","Over 25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.675625"
"Connecticut","2008-2010","Over 25","Nonmedical Use of Pain Relievers in the Past Year","Percent","Prescription Drug Misuse","2.71"
"Connecticut","2010-2012","12-17","Nonmedical Use of Pain Relievers in the Past Year","Percent","Margins of Error","0.931607142857143"
